Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
2202	-4794.522	-4905.17	110.6488	0.769405	1.16722	7.601941
2208	-4803.192	-4914.331	111.1389	0.769405	1.456105	7.212673
2214	-4804.394	-4915.238	110.8447	0.749268	1.177038	7.503163
2220	-4820.172	-4930.868	110.6957	0.7796413	1.317056	7.503163
2226	-4820.244	-4931.91	111.6665	0.7670327	1.320181	6.9872
2232	-4815.492	-4927.746	112.254	0.7843504	1.266794	6.684628
2238	-4816.382	-4927.424	111.0419	0.7849053	1.390795	7.283278
2244	-4814.005	-4925.805	111.7994	0.6608008	1.390795	6.942659
2250	-4803.146	-4915.141	111.9951	0.7059485	1.106616	6.942659
2256	-4810.429	-4921.638	111.2085	0.7008572	1.51398	7.189133
2262	-4796.246	-4907.418	111.1717	0.7616969	1.362924	7.23777
2268	-4799.624	-4911.073	111.449	0.6155405	1.20467	7.23777
2274	-4804.831	-4916.36	111.5295	0.9138957	1.082646	7.0934
2280	-4827.633	-4940.674	113.0417	0.9823864	1.372107	6.103595
2286	-4816.981	-4929.963	112.9815	0.8215627	1.325209	6.244168
2292	-4803.644	-4914.621	110.9773	0.8355562	1.242541	7.355408
2298	-4810.811	-4921.922	111.1116	0.9355705	1.251694	7.22543
2304	-4811.108	-4922.005	110.8967	0.751194	1.421791	7.366455
2310	-4804.121	-4916.609	112.4881	0.8698762	1.243572	6.522284
2316	-4806.228	-4917.309	111.0804	0.7736105	1.59655	7.187176
2322	-4810.469	-4921.86	111.3914	0.8545993	1.270473	7.110125
2328	-4809.77	-4920.442	110.6716	0.7819376	1.270473	7.535395
